Date,Open,High,Low,Close,Adj Close,Volume
2008-01-28,851.809998,861.080017,845.609985,860.260010,860.260010,361785200
2008-01-29,867.940002,877.969971,864.190002,876.739990,876.739990,364483500
2008-01-30,869.020020,872.340027,862.349976,866.690002,866.690002,374041900
2008-01-31,864.679993,870.239990,845.880005,864.469971,864.469971,491257400
2008-02-01,875.229980,887.000000,873.049988,882.099976,882.099976,452706200
2008-02-04,890.489990,890.489990,878.440002,881.659973,881.659973,274167800
2008-02-05,881.119995,881.380005,848.309998,849.440002,849.440002,417312800
2008-02-06,841.539978,857.080017,841.159973,856.549988,856.549988,402903900
2008-02-07,852.320007,853.469971,833.950012,841.510010,841.510010,417947600
2008-02-08,848.210022,852.400024,833.830017,838.179993,838.179993,383852600
2008-02-11,830.530029,842.460022,827.419983,832.640015,832.640015,343149000
2008-02-12,840.010010,861.750000,831.549988,861.030029,861.030029,455935300
2008-02-13,853.330017,869.429993,850.760010,864.710022,864.710022,368427700
2008-02-14,875.059998,877.119995,864.500000,867.200012,867.200012,379591600
2008-02-15,866.150024,869.950012,847.150024,851.940002,851.940002,384689300
2008-02-18,858.539978,870.340027,858.539978,867.760010,867.760010,214700000
2008-02-19,865.150024,881.340027,858.250000,872.760010,872.760010,324934900
2008-02-20,862.429993,868.809998,854.140015,858.340027,858.340027,414146300
2008-02-21,865.229980,873.119995,860.659973,864.840027,864.840027,363198800
2008-02-22,858.419983,866.700012,852.239990,857.900024,857.900024,334097500
2008-02-25,867.309998,873.159973,863.659973,872.010010,872.010010,284961200
2008-02-26,877.359985,882.450012,872.289978,881.659973,881.659973,359210800
2008-02-27,884.299988,884.869995,868.489990,879.729980,879.729980,380037100
2008-02-28,875.789978,879.400024,863.159973,864.140015,864.140015,366988900
2008-02-29,860.140015,865.429993,849.070007,852.950012,852.950012,406842300
2008-03-03,841.549988,847.159973,836.070007,843.200012,843.200012,383986800
2008-03-04,844.599976,850.809998,828.539978,832.159973,832.159973,349431000
2008-03-05,838.539978,847.580017,833.989990,846.359985,846.359985,324341200
2008-03-06,847.179993,847.239990,832.460022,834.650024,834.650024,365066500
2008-03-07,826.090027,832.729980,819.179993,826.250000,826.250000,465336800
2008-03-10,823.380005,827.989990,812.070007,816.609985,816.609985,345440200
2008-03-11,819.479980,835.869995,816.280029,826.789978,826.789978,389471600
2008-03-12,840.130005,844.700012,834.130005,837.520020,837.520020,389678400
2008-03-13,823.719971,827.250000,813.530029,825.940002,825.940002,417010500
2008-03-14,826.280029,838.440002,813.179993,819.859985,819.859985,423034800
2008-03-17,796.570007,803.369995,788.530029,790.400024,790.400024,515105500
2008-03-18,802.799988,815.650024,799.179993,813.809998,813.809998,424262300
2008-03-19,823.539978,824.719971,804.119995,809.080017,809.080017,490306200
2008-03-20,800.210022,807.880005,797.309998,806.030029,806.030029,580685300
2008-03-25,830.419983,832.510010,822.469971,829.380005,829.380005,464336900
2008-03-26,824.789978,830.030029,822.919983,828.010010,828.010010,325123200
2008-03-27,825.940002,840.460022,825.840027,834.950012,834.950012,316340700
2008-03-28,835.690002,838.650024,828.760010,831.320007,831.320007,276627400
2008-03-31,824.469971,834.400024,819.140015,833.820007,833.820007,304179000
2008-04-01,830.659973,861.909973,830.239990,860.609985,860.609985,400639100
2008-04-02,863.700012,870.210022,859.330017,868.520020,868.520020,391675800
2008-04-03,871.679993,871.679993,859.520020,863.909973,863.909973,327764900
